"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2023-10-14,"Non-Conference","Alaska",2,"Michigan Tech",2,TRUE,FALSE,0,0.5
2023-10-14,"Non-Conference","St. Cloud State",1,"Minnesota State",5,FALSE,FALSE,4,1
2023-10-14,"Non-Conference","Bowling Green",2,"Augustana",3,FALSE,FALSE,1,1
2023-10-14,"Non-Conference","Wisconsin",0,"North Dakota",2,FALSE,FALSE,2,1
2023-10-14,"Non-Conference","Vermont",2,"Clarkson",3,TRUE,FALSE,1,1
2023-10-14,"Non-Conference","Holy Cross",2,"Connecticut",0,FALSE,FALSE,-2,0
2023-10-14,"Non-Conference","Michigan",3,"Massachusetts",6,FALSE,FALSE,3,1
2023-10-14,"Non-Conference","Bentley",2,"Northeastern",5,FALSE,FALSE,3,1
2023-10-14,"Non-Conference","American Int'l",0,"Quinnipiac",8,FALSE,FALSE,8,1
2023-10-14,"Non-Conference","Colgate",6,"Sacred Heart",1,FALSE,FALSE,-5,0
2023-10-14,"Non-Conference","Penn State",4,"St. Lawrence",1,FALSE,FALSE,-3,0
2023-10-14,"Non-Conference","Canisius",1,"Miami",4,FALSE,FALSE,3,1
2023-10-14,"Non-Conference","Notre Dame",0,"RIT",3,FALSE,FALSE,3,1
2023-10-14,"Non-Conference","Northern Michigan",5,"Minnesota-Duluth",8,FALSE,FALSE,3,1
2023-10-14,"Non-Conference","Niagara",1,"Omaha",2,FALSE,FALSE,1,1
2023-10-15,"Non-Conference","Bowling Green",1,"Augustana",4,FALSE,FALSE,3,1
2023-10-19,"Non-Conference","Canisius",3,"Michigan State",6,FALSE,FALSE,3,1
2023-10-20,"Big Ten","Ohio State",1,"Michigan",7,FALSE,FALSE,6,1
2023-10-20,"Atlantic Hockey","Holy Cross",3,"Robert Morris",1,FALSE,FALSE,-2,0
2023-10-20,"Atlantic Hockey","Sacred Heart",2,"RIT",4,FALSE,FALSE,2,1
2023-10-20,"Non-Conference","Mass.-Lowell",4,"Colgate",2,FALSE,FALSE,-2,0
2023-10-20,"Non-Conference","Long Island",2,"Colorado College",4,FALSE,FALSE,2,1
2023-10-20,"Non-Conference","Clarkson",1,"Merrimack",4,FALSE,FALSE,3,1
2023-10-20,"Non-Conference","Canisius",3,"Michigan State",4,FALSE,FALSE,1,1
2023-10-20,"Non-Conference","Wisconsin",4,"Michigan Tech",2,FALSE,FALSE,-2,0
2023-10-20,"Non-Conference","Quinnipiac",5,"New Hampshire",2,FALSE,FALSE,-3,0
2023-10-20,"Non-Conference","Minnesota",4,"North Dakota",0,FALSE,FALSE,-4,0
2023-10-20,"Non-Conference","Boston University",1,"Notre Dame",4,FALSE,FALSE,3,1
2023-10-20,"Non-Conference","Denver",3,"Providence",4,FALSE,FALSE,1,1
2023-10-20,"Non-Conference","Connecticut",1,"Union",4,FALSE,FALSE,3,1
2023-10-20,"Non-Conference","American Int'l",2,"Penn State",3,FALSE,FALSE,1,1
2023-10-20,"Non-Conference","Northern Michigan",2,"Arizona State",3,FALSE,FALSE,1,1
2023-10-20,"Non-Conference","Rensselaer",1,"Boston College",6,FALSE,FALSE,5,1
2023-10-20,"Non-Conference","Stonehill",0,"Bentley",2,FALSE,FALSE,2,1
2023-10-20,"Non-Conference","Western Michigan",5,"Bowling Green",2,FALSE,FALSE,-3,0
2023-10-20,"Non-Conference","Air Force",1,"Alaska-Anchorage",3,FALSE,FALSE,2,1
2023-10-20,"Non-Conference","Massachusetts",6,"Minnesota State",3,FALSE,FALSE,-3,0
2023-10-20,"Non-Conference","Bemidji State",0,"Minnesota-Duluth",4,FALSE,FALSE,4,1
2023-10-20,"Non-Conference","Lindenwood",4,"St. Thomas",4,TRUE,FALSE,0,0.5
2023-10-20,"Non-Conference","Alaska",1,"St. Cloud State",4,FALSE,FALSE,3,1
2023-10-21,"Non-Conference","Connecticut",5,"Union",0,FALSE,FALSE,-5,0
2023-10-21,"Non-Conference","Air Force",4,"Alaska-Anchorage",3,TRUE,FALSE,-1,0
2023-10-21,"Non-Conference","Long Island",2,"Colorado College",3,FALSE,FALSE,1,1
2023-10-21,"Non-Conference","Wisconsin",5,"Michigan Tech",2,FALSE,FALSE,-3,0
2023-10-21,"Non-Conference","Minnesota",1,"North Dakota",2,FALSE,FALSE,1,1
2023-10-21,"Non-Conference","Boston University",8,"Notre Dame",2,FALSE,FALSE,-6,0
2023-10-21,"Non-Conference","Alaska",5,"St. Cloud State",2,FALSE,FALSE,-3,0
2023-10-21,"Non-Conference","Bowling Green",2,"Western Michigan",5,FALSE,FALSE,3,1
2023-10-21,"Non-Conference","Stonehill",1,"Bentley",4,FALSE,FALSE,3,1
2023-10-21,"Non-Conference","Massachusetts",1,"Minnesota State",0,FALSE,FALSE,-1,0
2023-10-21,"Non-Conference","Lindenwood",1,"St. Thomas",3,FALSE,FALSE,2,1
2023-10-21,"Non-Conference","Minnesota-Duluth",5,"Bemidji State",4,TRUE,FALSE,-1,0
2023-10-21,"Non-Conference","Mass.-Lowell",5,"Colgate",2,FALSE,FALSE,-3,0
2023-10-21,"Non-Conference","Quinnipiac",4,"New Hampshire",5,TRUE,FALSE,1,1
2023-10-21,"Non-Conference","Rensselaer",2,"Providence",4,FALSE,FALSE,2,1
2023-10-21,"Non-Conference","American Int'l",6,"Penn State",4,FALSE,FALSE,-2,0
2023-10-21,"Non-Conference","Northern Michigan",1,"Arizona State",5,FALSE,FALSE,4,1
2023-10-21,"Non-Conference","Denver",4,"Boston College",3,FALSE,FALSE,-1,0
