"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2024-10-11,"Non-Conference","American Int'l",NA,"Ohio State",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Niagara",NA,"Clarkson",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Notre Dame",NA,"St. Lawrence",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Connecticut",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Alaska-Anchorage",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Merrimack",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Long Island",NA,"Augustana",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Alaska",NA,"Michigan Tech",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Minnesota-Duluth",NA,"Mass.-Lowell",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Bemidji State",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Omaha",NA,"Massachusetts",NA,FALSE,TRUE,NA,NA
2024-10-11,"Non-Conference","Minnesota",NA,"Air Force",NA,FALSE,TRUE,NA,NA
2024-10-11,"Atlantic Hockey","RIT",NA,"Mercyhurst",NA,FALSE,FALSE,NA,NA
2024-10-12,"Atlantic Hockey","Massachusetts",NA,"Minn./Air Force",NA,FALSE,TRUE,NA,NA
2024-10-12,"Atlantic Hockey","Air Force",NA,"UNO/UMass",NA,FALSE,TRUE,NA,NA
2024-10-12,"Atlantic Hockey","Minnesota",NA,"UMass/UNO",NA,FALSE,TRUE,NA,NA
2024-10-12,"Non-Conference","Holy Cross",NA,"Connecticut",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Sacred Heart",NA,"Colgate",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Michigan",NA,"Arizona State",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Rensselaer",NA,"Canisius",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","American Int'l",NA,"Ohio State",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Boston College",NA,"Michigan State",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Lindenwood",NA,"Wisconsin",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Vermont",NA,"St. Thomas",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Northern Michigan",NA,"Colorado College",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Minnesota-Duluth",NA,"Mass.-Lowell",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Long Island",NA,"Augustana",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Merrimack",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","St. Cloud State",NA,"Bemidji State",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Alaska",NA,"Michigan Tech",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Providence",NA,"North Dakota",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Penn State",NA,"Quinnipiac",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Niagara",NA,"St. Lawrence",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Stonehill",NA,"Northeastern",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Union",NA,"Boston University",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Notre Dame",NA,"Clarkson",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Western Michigan",NA,"Ferris State",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Bentley",NA,"New Hampshire",NA,FALSE,FALSE,NA,NA
2024-10-12,"Non-Conference","Alaska-Anchorage",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-10-12,"Atlantic Hockey","RIT",NA,"Mercyhurst",NA,FALSE,FALSE,NA,NA
2024-10-17,"Non-Conference","Robert Morris",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-10-17,"Non-Conference","Bowling Green",NA,"Western Michigan",NA,FALSE,FALSE,NA,NA
2024-10-18,"Hockey East","New Hampshire",NA,"Merrimack",NA,FALSE,FALSE,NA,NA
2024-10-18,"Hockey East","Connecticut",NA,"Boston University",NA,FALSE,FALSE,NA,NA
2024-10-18,"Big Ten","Ohio State",NA,"Wisconsin",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Northeastern",NA,"Denver",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Minnesota",NA,"Minnesota-Duluth",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Niagara",NA,"Rensselaer",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","American Int'l",NA,"Boston College",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Quinnipiac",NA,"Maine",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Long Island",NA,"Bentley",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Ferris State",NA,"St. Lawrence",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Mercyhurst",NA,"Union",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Arizona State",NA,"Providence",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Sacred Heart",NA,"Massachusetts",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","St. Cloud State",NA,"Michigan",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Lindenwood",NA,"Air Force",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Alaska",NA,"Notre Dame",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","North Dakota",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Stonehill",NA,"Lake Superior",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Augustana",NA,"Omaha",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Alaska-Anchorage",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-10-18,"Non-Conference","Colgate",NA,"Mass.-Lowell",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Arizona State",NA,"Providence",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Mercyhurst",NA,"Union",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Niagara",NA,"Rensselaer",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Minnesota",NA,"Minnesota-Duluth",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Northeastern",NA,"Denver",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Colgate",NA,"Mass.-Lowell",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Alaska",NA,"Notre Dame",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Alaska-Anchorage",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Stonehill",NA,"Lake Superior",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","North Dakota",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Miami",NA,"Robert Morris",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Massachusetts",NA,"Sacred Heart",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Long Island",NA,"Bentley",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Ferris State",NA,"St. Lawrence",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","St. Cloud State",NA,"Michigan",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Bowling Green",NA,"RIT",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Augustana",NA,"Omaha",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Quinnipiac",NA,"Maine",NA,FALSE,FALSE,NA,NA
2024-10-19,"Non-Conference","Clarkson",NA,"Vermont",NA,FALSE,FALSE,NA,NA
2024-10-19,"Big Ten","Ohio State",NA,"Wisconsin",NA,FALSE,FALSE,NA,NA
2024-10-19,"Atlantic Hockey","Army",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-10-20,"Non-Conference","Lindenwood",NA,"Air Force",NA,FALSE,FALSE,NA,NA
2024-10-20,"Atlantic Hockey","Army",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-10-22,"Atlantic Hockey","Mercyhurst",NA,"Canisius",NA,FALSE,FALSE,NA,NA
2024-10-25,"Atlantic Hockey","Air Force",NA,"American Int'l",NA,FALSE,FALSE,NA,NA
2024-10-25,"Atlantic Hockey","Bentley",NA,"Army",NA,FALSE,FALSE,NA,NA
2024-10-25,"Atlantic Hockey","Niagara",NA,"Robert Morris",NA,FALSE,FALSE,NA,NA
2024-10-25,"Atlantic Hockey","Holy Cross",NA,"Sacred Heart",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Stonehill",NA,"Minnesota-Duluth",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Clarkson",NA,"Michigan Tech",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Bowling Green",NA,"Ohio State",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Colorado College",NA,"Alaska-Anchorage",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","St. Lawrence",NA,"Penn State",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","New Hampshire",NA,"Quinnipiac",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Michigan State",NA,"Canisius",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Augustana",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Wisconsin",NA,"Denver",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Lindenwood",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Colgate",NA,"RIT",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Long Island",NA,"Notre Dame",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Boston University",NA,"North Dakota",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Omaha",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","Arizona State",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-10-25,"Non-Conference","St. Thomas",NA,"Minnesota",NA,FALSE,FALSE,NA,NA
2024-10-25,"ECAC","Union",NA,"Rensselaer",NA,FALSE,FALSE,NA,NA
2024-10-25,"Hockey East","Connecticut",NA,"Massachusetts",NA,FALSE,FALSE,NA,NA
2024-10-25,"Hockey East","Maine",NA,"Northeastern",NA,FALSE,FALSE,NA,NA
2024-10-25,"Hockey East","Providence",NA,"Vermont",NA,FALSE,FALSE,NA,NA
2024-10-25,"CCHA","Bemidji State",NA,"Ferris State",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","St. Lawrence",NA,"Penn State",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Lindenwood",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","New Hampshire",NA,"Quinnipiac",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Stonehill",NA,"Minnesota-Duluth",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Augustana",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Colgate",NA,"RIT",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Colorado College",NA,"Alaska-Anchorage",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Wisconsin",NA,"Denver",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Long Island",NA,"Notre Dame",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Omaha",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Boston University",NA,"North Dakota",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Arizona State",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Clarkson",NA,"Michigan Tech",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Western Michigan",NA,"Boston College",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Michigan State",NA,"Canisius",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Ohio State",NA,"Bowling Green",NA,FALSE,FALSE,NA,NA
2024-10-26,"Non-Conference","Minnesota",NA,"St. Thomas",NA,FALSE,TRUE,NA,NA
2024-10-26,"Atlantic Hockey","Air Force",NA,"American Int'l",NA,FALSE,FALSE,NA,NA
2024-10-26,"Atlantic Hockey","Bentley",NA,"Army",NA,FALSE,FALSE,NA,NA
2024-10-26,"Atlantic Hockey","Robert Morris",NA,"Niagara",NA,FALSE,FALSE,NA,NA
2024-10-26,"Atlantic Hockey","Holy Cross",NA,"Sacred Heart",NA,FALSE,FALSE,NA,NA
2024-10-26,"Hockey East","Massachusetts",NA,"Connecticut",NA,FALSE,FALSE,NA,NA
2024-10-26,"Hockey East","Providence",NA,"Vermont",NA,FALSE,FALSE,NA,NA
2024-10-26,"Hockey East","Maine",NA,"Northeastern",NA,FALSE,FALSE,NA,NA
2024-10-26,"Hockey East","Mass.-Lowell",NA,"Merrimack",NA,FALSE,FALSE,NA,NA
2024-10-26,"CCHA","Bemidji State",NA,"Ferris State",NA,FALSE,FALSE,NA,NA
2024-10-26,"ECAC","Rensselaer",NA,"Union",NA,FALSE,FALSE,NA,NA
2024-10-30,"Atlantic Hockey","RIT",NA,"Niagara",NA,FALSE,FALSE,NA,NA
2024-10-31,"Atlantic Hockey","Army",NA,"Canisius",NA,FALSE,FALSE,NA,NA
2024-11-01,"Atlantic Hockey","Mercyhurst",NA,"Niagara",NA,FALSE,FALSE,NA,NA
2024-11-01,"Atlantic Hockey","Army",NA,"Canisius",NA,FALSE,FALSE,NA,NA
2024-11-01,"Atlantic Hockey","Sacred Heart",NA,"Bentley",NA,FALSE,FALSE,NA,NA
2024-11-01,"Big Ten","Penn State",NA,"Minnesota",NA,FALSE,FALSE,NA,NA
2024-11-01,"Big Ten","Wisconsin",NA,"Notre Dame",NA,FALSE,FALSE,NA,NA
2024-11-01,"ECAC","Dartmouth",NA,"Harvard",NA,FALSE,FALSE,NA,NA
2024-11-01,"Hockey East","New Hampshire",NA,"Providence",NA,FALSE,FALSE,NA,NA
2024-11-01,"Hockey East","Merrimack",NA,"Maine",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Lake Superior",NA,"Ohio State",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Air Force",NA,"Colorado College",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","North Dakota",NA,"Cornell",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Michigan",NA,"Boston University",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Denver",NA,"Yale",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","St. Lawrence",NA,"Stonehill",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Lindenwood",NA,"Robert Morris",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Alaska",NA,"Clarkson",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Mass.-Lowell",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Rensselaer",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-11-01,"Non-Conference","Boston College",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-11-01,"CCHA","Ferris State",NA,"Bowling Green",NA,FALSE,FALSE,NA,NA
2024-11-01,"CCHA","Michigan Tech",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-11-01,"CCHA","Minnesota State",NA,"Bemidji State",NA,FALSE,FALSE,NA,NA
2024-11-01,"CCHA","Augustana",NA,"St. Thomas",NA,FALSE,FALSE,NA,NA
2024-11-02,"Big Ten","Penn State",NA,"Minnesota",NA,FALSE,FALSE,NA,NA
2024-11-02,"Big Ten","Wisconsin",NA,"Notre Dame",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Massachusetts",NA,"American Int'l",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Lake Superior",NA,"Ohio State",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Boston College",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Lindenwood",NA,"Robert Morris",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Quinnipiac",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Michigan",NA,"Boston University",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","North Dakota",NA,"Cornell",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Alaska",NA,"Clarkson",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Denver",NA,"Yale",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Colorado College",NA,"Air Force",NA,FALSE,FALSE,NA,NA
2024-11-02,"Non-Conference","Rensselaer",NA,"Miami",NA,FALSE,FALSE,NA,NA
2024-11-02,"Hockey East","Providence",NA,"New Hampshire",NA,FALSE,FALSE,NA,NA
2024-11-02,"Hockey East","Vermont",NA,"Connecticut",NA,FALSE,FALSE,NA,NA
2024-11-02,"Hockey East","Merrimack",NA,"Maine",NA,FALSE,FALSE,NA,NA
2024-11-02,"CCHA","Minnesota State",NA,"Bemidji State",NA,FALSE,FALSE,NA,NA
2024-11-02,"CCHA","Northern Michigan",NA,"Michigan Tech",NA,FALSE,FALSE,NA,NA
2024-11-02,"CCHA","Augustana",NA,"St. Thomas",NA,FALSE,FALSE,NA,NA
2024-11-02,"CCHA","Ferris State",NA,"Bowling Green",NA,FALSE,FALSE,NA,NA
2024-11-02,"Atlantic Hockey","Bentley",NA,"Sacred Heart",NA,FALSE,FALSE,NA,NA
2024-11-02,"Atlantic Hockey","Niagara",NA,"Mercyhurst",NA,FALSE,FALSE,NA,NA
2024-11-03,"Hockey East","Vermont",NA,"Connecticut",NA,FALSE,FALSE,NA,NA
2024-11-03,"Non-Conference","Stonehill",NA,"Dartmouth",NA,FALSE,FALSE,NA,NA
2024-11-04,"Atlantic Hockey","Robert Morris",NA,"Mercyhurst",NA,FALSE,FALSE,NA,NA
2024-11-07,"Atlantic Hockey","American Int'l",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-11-08,"Big Ten","Ohio State",NA,"Michigan State",NA,FALSE,FALSE,NA,NA
2024-11-08,"Big Ten","Minnesota",NA,"Wisconsin",NA,FALSE,FALSE,NA,NA
2024-11-08,"Big Ten","Notre Dame",NA,"Michigan",NA,FALSE,FALSE,NA,NA
2024-11-08,"Atlantic Hockey","Sacred Heart",NA,"Mercyhurst",NA,FALSE,FALSE,NA,NA
2024-11-08,"Atlantic Hockey","Niagara",NA,"Army",NA,FALSE,FALSE,NA,NA
2024-11-08,"Atlantic Hockey","RIT",NA,"Bentley",NA,FALSE,FALSE,NA,NA
2024-11-08,"Atlantic Hockey","American Int'l",NA,"Holy Cross",NA,FALSE,FALSE,NA,NA
2024-11-08,"Atlantic Hockey","Canisius",NA,"Air Force",NA,FALSE,FALSE,NA,NA
2024-11-08,"ECAC","Harvard",NA,"Princeton",NA,FALSE,FALSE,NA,NA
2024-11-08,"ECAC","Dartmouth",NA,"Quinnipiac",NA,FALSE,FALSE,NA,NA
2024-11-08,"ECAC","Yale",NA,"Cornell",NA,FALSE,FALSE,NA,NA
2024-11-08,"ECAC","Brown",NA,"Colgate",NA,FALSE,FALSE,NA,NA
2024-11-08,"Hockey East","Massachusetts",NA,"Vermont",NA,FALSE,FALSE,NA,NA
2024-11-08,"Hockey East","Maine",NA,"Boston College",NA,FALSE,FALSE,NA,NA
2024-11-08,"Hockey East","Mass.-Lowell",NA,"Boston University",NA,FALSE,FALSE,NA,NA
2024-11-08,"Hockey East","Northeastern",NA,"Providence",NA,FALSE,FALSE,NA,NA
2024-11-08,"Hockey East","Connecticut",NA,"Merrimack",NA,FALSE,FALSE,NA,NA
2024-11-08,"NCHC","Western Michigan",NA,"Omaha",NA,FALSE,FALSE,NA,NA
2024-11-08,"NCHC","Arizona State",NA,"Colorado College",NA,FALSE,FALSE,NA,NA
2024-11-08,"NCHC","North Dakota",NA,"Minnesota-Duluth",NA,FALSE,FALSE,NA,NA
2024-11-08,"NCHC","Miami",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-11-08,"Non-Conference","Alaska",NA,"Union",NA,FALSE,FALSE,NA,NA
2024-11-08,"Non-Conference","Lindenwood",NA,"Denver",NA,FALSE,FALSE,NA,NA
2024-11-08,"CCHA","Minnesota State",NA,"St. Thomas",NA,FALSE,FALSE,NA,NA
2024-11-08,"CCHA","Lake Superior",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-11-08,"CCHA","Bemidji State",NA,"Augustana",NA,FALSE,FALSE,NA,NA
2024-11-08,"CCHA","Michigan Tech",NA,"Ferris State",NA,FALSE,FALSE,NA,NA
2024-11-09,"Big Ten","Ohio State",NA,"Michigan State",NA,FALSE,FALSE,NA,NA
2024-11-09,"Big Ten","Minnesota",NA,"Wisconsin",NA,FALSE,FALSE,NA,NA
2024-11-09,"Big Ten","Notre Dame",NA,"Michigan",NA,FALSE,FALSE,NA,NA
2024-11-09,"Hockey East","Merrimack",NA,"Connecticut",NA,FALSE,FALSE,NA,NA
2024-11-09,"Hockey East","Boston University",NA,"Mass.-Lowell",NA,FALSE,FALSE,NA,NA
2024-11-09,"Hockey East","Massachusetts",NA,"Vermont",NA,FALSE,FALSE,NA,NA
2024-11-09,"Hockey East","Providence",NA,"Northeastern",NA,FALSE,FALSE,NA,NA
2024-11-09,"Atlantic Hockey","RIT",NA,"Bentley",NA,FALSE,FALSE,NA,NA
2024-11-09,"Atlantic Hockey","Niagara",NA,"Army",NA,FALSE,FALSE,NA,NA
2024-11-09,"Atlantic Hockey","Sacred Heart",NA,"Mercyhurst",NA,FALSE,FALSE,NA,NA
2024-11-09,"Non-Conference","Alaska",NA,"Union",NA,FALSE,FALSE,NA,NA
2024-11-09,"Non-Conference","Lindenwood",NA,"Denver",NA,FALSE,FALSE,NA,NA
2024-11-09,"Non-Conference","Long Island",NA,"New Hampshire",NA,FALSE,FALSE,NA,NA
2024-11-09,"Non-Conference","Stonehill",NA,"Clarkson",NA,FALSE,FALSE,NA,NA
2024-11-09,"NCHC","Arizona State",NA,"Colorado College",NA,FALSE,FALSE,NA,NA
2024-11-09,"NCHC","North Dakota",NA,"Minnesota-Duluth",NA,FALSE,FALSE,NA,NA
2024-11-09,"NCHC","Miami",NA,"St. Cloud State",NA,FALSE,FALSE,NA,NA
2024-11-09,"NCHC","Western Michigan",NA,"Omaha",NA,FALSE,FALSE,NA,NA
2024-11-09,"CCHA","St. Thomas",NA,"Minnesota State",NA,FALSE,FALSE,NA,NA
2024-11-09,"CCHA","Lake Superior",NA,"Northern Michigan",NA,FALSE,FALSE,NA,NA
2024-11-09,"CCHA","Michigan Tech",NA,"Ferris State",NA,FALSE,FALSE,NA,NA
2024-11-09,"CCHA","Bemidji State",NA,"Augustana",NA,FALSE,FALSE,NA,NA
2024-11-09,"ECAC","Harvard",NA,"Quinnipiac",NA,FALSE,FALSE,NA,NA
2024-11-09,"ECAC","Brown",NA,"Cornell",NA,FALSE,FALSE,NA,NA
2024-11-09,"ECAC","Yale",NA,"Colgate",NA,FALSE,FALSE,NA,NA
