"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2024-10-04,"Non-Conference","Michigan State",2,"Lake Superior",1,TRUE,FALSE,-1,0
2024-10-04,"Non-Conference","Minnesota State",5,"Michigan",2,FALSE,FALSE,-3,0
2024-10-04,"Non-Conference","Arizona State",8,"Air Force",1,FALSE,FALSE,-7,0
2024-10-04,"Non-Conference","Bowling Green",2,"Mercyhurst",1,FALSE,FALSE,-1,0
2024-10-04,"Non-Conference","Colgate",2,"Connecticut",4,FALSE,FALSE,2,1
2024-10-04,"Non-Conference","Miami",3,"Ferris State",3,TRUE,FALSE,0,0.5
2024-10-05,"Non-Conference","Michigan State",5,"Lake Superior",1,FALSE,FALSE,-4,0
2024-10-05,"Non-Conference","Bemidji State",4,"Minnesota-Duluth",3,TRUE,FALSE,-1,0
2024-10-05,"Non-Conference","Minnesota State",1,"Michigan",4,FALSE,FALSE,3,1
2024-10-05,"Non-Conference","Denver",6,"Alaska-Anchorage",2,FALSE,FALSE,-4,0
2024-10-05,"Non-Conference","Canisius",1,"Clarkson",2,FALSE,FALSE,1,1
2024-10-05,"Non-Conference","RIT",2,"St. Lawrence",3,TRUE,FALSE,1,1
2024-10-05,"Non-Conference","American Int'l",0,"Maine",6,FALSE,FALSE,6,1
2024-10-05,"Non-Conference","Massachusetts",5,"Bentley",4,FALSE,FALSE,-1,0
2024-10-05,"Non-Conference","Holy Cross",2,"Boston University",5,FALSE,FALSE,3,1
2024-10-05,"Non-Conference","Bowling Green",5,"Mercyhurst",4,TRUE,FALSE,-1,0
2024-10-05,"Non-Conference","Arizona State",3,"Air Force",4,TRUE,FALSE,1,1
2024-10-05,"Non-Conference","Penn State",4,"Alaska",3,TRUE,FALSE,-1,0
2024-10-05,"Non-Conference","Colgate",2,"Connecticut",6,FALSE,FALSE,4,1
2024-10-05,"Non-Conference","Miami",4,"Ferris State",4,TRUE,FALSE,0,0.5
2024-10-06,"Non-Conference","RIT",3,"Clarkson",2,FALSE,FALSE,-1,0
2024-10-06,"Non-Conference","Canisius",2,"St. Lawrence",5,FALSE,FALSE,3,1
2024-10-06,"Non-Conference","Army",3,"Union",4,TRUE,FALSE,1,1
2024-10-06,"Non-Conference","Stonehill",3,"Merrimack",2,TRUE,FALSE,-1,0
2024-10-06,"Non-Conference","Denver",4,"Alaska-Anchorage",1,FALSE,FALSE,-3,0
2024-10-06,"Non-Conference","St. Cloud State",1,"St. Thomas",0,FALSE,FALSE,-1,0
2024-10-06,"Non-Conference","Penn State",5,"Alaska",0,FALSE,FALSE,-5,0
2024-10-11,"Non-Conference","Michigan",NA,"Arizona State",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Boston College",NA,"Michigan State",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Ferris State",NA,"Western Michigan",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Vermont",NA,"St. Thomas",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Sacred Heart",NA,"Colgate",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Lindenwood",NA,"Wisconsin",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Northern Michigan",NA,"Colorado College",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Union",NA,"Stonehill",NA,FALSE,FALSE,NA,NA
2024-10-11,"Non-Conference","Rensselaer",NA,"Canisius",NA,FALSE,FALSE,NA,NA
